,pBMAGMA_graft_ac,pBMAGMA_graft_aligned,pBMAGMA_graft_fiber,pBMAGMA_graft_mean,pBMAGMA_graft_std
TotEng,130347.08133333332,117620.69500000002,130619.88133333334,126195.8858888889,7427.58568080248
Density,1.0531950499999998,1.0557293466666666,1.0569454033333334,1.0552899333333334,0.0019134002689832027
Mn,43032.44435646548,43032.44435646548,43032.44435646548,43032.44435646548,0.0
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0,1.0,0.0
%mm,0.5297979797979798,0.521324354657688,0.5297979797979798,0.5269734380845493,0.0048922497557594615
herman_x,0.008004886394950705,0.008555196374482025,-0.0561602154711362,-0.013200044233901156,0.03720561711378822
herman_y,-0.02250550138811387,-0.018434379657421875,-0.06260362141486882,-0.03451450082013485,0.02441091005832554
herman_z,0.014500614993163154,0.00987918328293984,0.11876383688600502,0.047714545054036,0.06157386466782224
herman_avg,-0.007947745809352192,0.009561097919300115,-0.04056949371308783,-0.012985380534379969,0.02544213782429486
shape_aniso,0.31819670641256637,0.9824090188531441,0.9433484767694879,0.7479847340117328,0.3727193890685775
Rg,1048.8481103731951,4110.204746523573,4658.891855525304,3272.648237474024,1945.3096514093627
ehex_kappa,0.26131846145865795,0.2684303949416567,0.2910671380982715,0.27360533149952876,0.015534829150511199
ehex_kappa_x,0.26088042793719124,0.21163841611162126,0.1949218367507908,0.2224802269332011,0.034289832082439096
ehex_kappa_y,0.2664790100746364,0.20576487156750595,0.20985407127584013,0.22736598430599417,0.03393452485519011
ehex_kappa_z,0.25659594636414623,0.38788789714584293,0.4684255062681837,0.37096978325939095,0.10692337230648297
lav_kappa,0.2861625071806693,0.29502215741951826,0.3041054290152751,0.29509669787182086,0.008971693162383857
lav_kappa_x,0.28955681427182756,0.28472996556940083,0.2611683087568687,0.278485029532699,0.015189675142019498
lav_kappa_y,0.2802099765201691,0.271357274274708,0.257474818956813,0.26968068991723004,0.01145993231605064
lav_kappa_z,0.28872073075001137,0.3289792324144461,0.39367315933214353,0.3371243741655337,0.05294818756983916
