,pGMA_graft_ac,pGMA_graft_aligned,pGMA_graft_fiber,pGMA_graft_mean,pGMA_graft_std
TotEng,118269.42833333332,106971.11966666665,118959.89833333333,114733.4821111111,6731.262158348625
Density,1.14578842,1.1611042566666667,1.1446286466666669,1.1505071077777778,0.009195702364481839
Mn,28414.614486064725,28414.614486064725,28414.614486064725,28414.614486064722,4.455595886216866e-12
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0,1.0,1.0,1.0,0.0
%mm,0.5015151515151516,0.5050505050505051,0.5015151515151516,0.5026936026936027,0.0020411373153168396
herman_x,-0.011337081961828067,-0.008305502068217585,-0.05229694256676504,-0.023979842198936896,0.02457012920385392
herman_y,-0.002030086326881813,-0.02676067635453543,-0.023706761211025697,-0.017499174630814313,0.013483364533456976
herman_z,0.013367168288709878,0.03506617842275303,0.07600370377779073,0.04147901682975121,0.03180687452178262
herman_avg,-0.0061839232432401876,0.03619228081850455,0.07135355519154443,0.03378730425560293,0.03882464519744195
shape_aniso,0.2754059916347242,0.9971319895933495,0.897086557682564,0.7232081796368792,0.39102093524029113
Rg,828.379432856904,5179.980863766725,3745.8608648488125,3251.4070538241467,2217.5374138448515
ehex_kappa,0.21569647274836015,0.23698776259291787,0.22977260329147162,0.2274856128775832,0.010828319337559027
ehex_kappa_x,0.2121781560471185,0.16012619676826037,0.15547393230372908,0.17592609503970266,0.031481261674622195
ehex_kappa_y,0.2314742131020757,0.16350539321124533,0.16115086801915646,0.1853768247774925,0.039938863967076105
ehex_kappa_z,0.20343704909588628,0.3873316977992479,0.37269300955152923,0.3211539188155545,0.10220821327491973
lav_kappa,0.2402920066409815,0.2507919489917314,0.24790516808607133,0.2463297079062614,0.005424366638225419
lav_kappa_x,0.23176561350541283,0.22402557363611372,0.20162322730628812,0.21913813814927155,0.01565426876838484
lav_kappa_y,0.2523502154878355,0.21533822606214423,0.2208806879756904,0.22952304317522335,0.019962203482031763
lav_kappa_z,0.2367601909296962,0.3130120472769362,0.32121158897623553,0.2903279423942893,0.04657183825821084
