,pDMA_dp300_mono_smp1,pDMA_dp300_mono_smp2,pDMA_dp300_mono_smp3,pDMA_dp300_mono_mean,pDMA_dp300_mono_std
TotEng,113654.74699999999,113685.447,113730.39166666666,113690.1952222222,38.04521138700288
Density,1.0953620766666667,1.0925033933333335,1.09069449,1.09285332,0.002353386459284719
Mn,29722.539822464787,29722.539822464787,29722.539822464787,29722.53982246479,4.455595886216866e-12
DPn,300.0,300.0,300.0,300.0,0.0
PDI,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0
%mm,0.4825503355704698,0.4976510067114093,0.5083892617449665,0.4961968680089486,0.012980693971713076
herman_x,0.004121939192642458,-0.013882789064038822,0.002512467899058765,-0.002416127324112533,0.00996297385596462
herman_y,0.0009507472694162554,0.0012928816820744562,-0.002690155547656747,-0.00014884219872201166,0.0022074802699427807
herman_z,-0.005072686462058743,0.012589907381964359,0.00017768764859798163,0.0025649695228345325,0.0090700684333154
herman_avg,-0.0014342405894973655,0.0004887841492207954,0.002185631931159959,0.00041339183029446294,0.001811113543587845
shape_aniso,0.32630118657372603,0.3233310677726523,0.2581310480700205,0.30258776747213295,0.03852927882042101
Rg,835.6941989919445,855.459068063783,741.5378517840087,810.8970396132454,60.87433954142937
ehex_kappa,0.2612927150094668,0.2543370110190112,0.25926745185818795,0.25829905929555536,0.0035775400231488363
ehex_kappa_x,0.2611176893918079,0.2448977216229803,0.25217040807532703,0.25272860636337174,0.008124378597901116
ehex_kappa_y,0.25232713566293286,0.25196024107825543,0.2634577156824038,0.255915030807864,0.0065347321480321244
ehex_kappa_z,0.27043331997365966,0.2661530703557978,0.26217423181683314,0.2662535407154302,0.004130460629933606
lav_kappa,0.2855678212440745,0.28528370025581207,0.27957136206207694,0.28347429452065454,0.003383022689276037
lav_kappa_x,0.2825484946751957,0.2720198878090317,0.2724655558127527,0.2756779794323267,0.005954211935198199
lav_kappa_y,0.28863383846562846,0.28575806718535307,0.28143707309881766,0.2852763262499331,0.003622487223286833
lav_kappa_z,0.2855211305913994,0.29807314577305144,0.2848114572746604,0.28946857787970376,0.007460217860595318
