,pDMA_iso_dp200_poly_smp1,pDMA_iso_dp200_poly_smp2,pDMA_iso_dp200_poly_smp3,pDMA_iso_dp200_poly_mean,pDMA_iso_dp200_poly_std
TotEng,76948.60960000001,74969.61119999998,74989.15263333335,75635.79114444445,1136.976116653139
Density,1.0915342333333335,1.0939450966666666,1.0926248133333334,1.0927013811111113,0.0012072541039266883
Mn,20033.64894226203,19558.12055550362,19528.400031331217,19706.72317636562,283.51573094712853
DPn,202.2,197.4,197.1,198.9,2.8618176042508305
PDI,1.2913246787234676,1.27930462623105,1.2747573509385282,1.2817955519643485,0.008559942800043316
%mm,0.9066959246455847,0.9020703154892251,0.9157573281346825,0.9081745227564975,0.006962274633295028
herman_x,-0.010537991056612274,-0.001222890977998748,-0.004441699123243732,-0.0054008603859515844,0.004731042709018375
herman_y,-0.001881644949789834,-0.007816422677354953,-0.0009323216543960332,-0.0035434630938469404,0.00373080974876957
herman_z,0.012419636006402111,0.009039313655353716,0.0053740207776397635,0.008944323479798531,0.003523767988677884
herman_avg,0.01599305742335644,0.006751762085018566,0.006758883072094877,0.009834567526823296,0.005333409887810037
shape_aniso,0.39359373569513256,0.424988611524501,0.3339641636365386,0.3841821702853907,0.046236302846610525
Rg,649.0599845374377,618.5261781247843,585.5296252497363,617.7052626373194,31.773134319488765
ehex_kappa,0.24324004187857695,0.2440784405939108,0.2510272620531424,0.24611524817521005,0.00427453370020853
ehex_kappa_x,0.24939660945318493,0.2558676074550924,0.2523901466602255,0.2525514545228343,0.0032385133865829867
ehex_kappa_y,0.24995265320493787,0.23999153790739794,0.2511716191171504,0.24703860340982872,0.006133295901914952
ehex_kappa_z,0.2303708629776081,0.23637617641924197,0.24952002038205137,0.23875568659296711,0.00979383014071525
lav_kappa,0.27823821437532564,0.27375286368959856,0.28052174016475157,0.27750427274322526,0.0034436063833527177
lav_kappa_x,0.2764244910498593,0.26963739643767365,0.27824548213120565,0.2747691232062462,0.004536514835206509
lav_kappa_y,0.2757806622058443,0.2779148517816513,0.2833212881763017,0.2790056007212658,0.003886844471230706
lav_kappa_z,0.2825094898702733,0.2737063428494707,0.2799984501867473,0.27873809430216373,0.004534889423604464
mp_kappa,0.2504251258407198,,,0.2504251258407198,
mp_kappa_x,0.25256624694899643,,,0.25256624694899643,
mp_kappa_y,0.2555262382188893,,,0.2555262382188893,
mp_kappa_z,0.24318289235427365,,,0.24318289235427365,
gk_kappa,1.4135637566666668,,,1.4135637566666668,
gk_kappa_x,1.4828123766666665,,,1.4828123766666665,
gk_kappa_y,1.3164182266666669,,,1.3164182266666669,
gk_kappa_z,1.44146065,,,1.44146065,
