,pDMA_iso_dp300_mono_smp1,pDMA_iso_dp300_mono_smp2,pDMA_iso_dp300_mono_smp3,pDMA_iso_dp300_mono_mean,pDMA_iso_dp300_mono_std
TotEng,114023.461,113927.08966666667,114028.67899999999,113993.07655555556,57.205847689946914
Density,1.09377478,1.0963020033333335,1.0957606066666667,1.09527913,0.001330631158339805
Mn,29722.539822464787,29722.539822464787,29722.539822464787,29722.53982246479,4.455595886216866e-12
DPn,300.0,300.0,300.0,300.0,0.0
PDI,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0
%mm,0.9104026845637583,0.9026845637583891,0.9070469798657719,0.9067114093959731,0.0038699874478761278
herman_x,0.0022757873102615535,-0.005600491330277496,-0.006089595638407971,-0.0031380998861413045,0.004694937346503045
herman_y,-0.0002865271978363966,-0.00045619916933137093,-0.001609998769352239,-0.0007842417121733356,0.0007201410851967273
herman_z,-0.0019892601124251764,0.006056690499608871,0.007699594407760196,0.00392234159831463,0.00518508046250693
herman_avg,-0.0012015297354709229,0.005387967128319041,-0.001176495808889473,0.0010033138613195483,0.0037972417460871532
shape_aniso,0.3586106210470494,0.2322049496548853,0.36907180635638714,0.3199624590194406,0.07618001336913499
Rg,891.0491657038663,807.8276581081689,897.8883205819286,865.5883814646546,50.13900060691165
ehex_kappa,0.2594869609051981,0.2576989571572121,0.25993307131433213,0.25903966312558074,0.0011823167910923926
ehex_kappa_x,0.27238282188807467,0.2558264408981122,0.25523275499765324,0.26114733926128003,0.009734740270282202
ehex_kappa_y,0.23865559941448028,0.2503401747599619,0.260088081587445,0.24969461858729572,0.010730814512545787
ehex_kappa_z,0.2674224614130394,0.26693025581356217,0.264478377357898,0.26627703152816656,0.0015770016506673249
lav_kappa,0.28468596968518617,0.28433510193156825,0.2846015257515178,0.2845408657894241,0.00018313046819994793
lav_kappa_x,0.2883634301248156,0.28299348430448584,0.2814387837226135,0.28426523271730497,0.0036332753773989585
lav_kappa_y,0.27835315307444125,0.28052852550489027,0.2808690843521562,0.2799169209771626,0.0013649258669608554
lav_kappa_z,0.28734132585630157,0.28948329598532857,0.2914967091797837,0.28944044367380467,0.002078023070545797
