,pE_ac_rerun,pE_ac_smp1,pE_ac_smp2,pE_ac_smp3,pE_ac_mean,pE_ac_std
TotEng,16789.4236,16738.1487,16725.522233333333,16755.852033333336,16752.23664166667,27.737283212262657
Density,0.8351323359999998,0.8376021206666665,0.8393745079999998,0.8359012816666668,0.8370025615833332,0.0018882233347208093
Mn,5608.275675664004,5608.275675664004,5608.275675664004,5608.275675664004,5608.275675664004,0.0
DPn,200.0,200.0,200.0,200.0,200.0,0.0
PDI,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0
%mm,0.0,0.0,0.0,0.0,0.0,0.0
herman_x,0.015813770588477574,-0.01136714830362708,0.004541900878989369,-0.009224276482299723,-5.893832961496523e-05,0.012714685028099481
herman_y,0.005379292766233834,0.014268304246531282,0.022440758569267208,0.010471758409562295,0.013140028497898654,0.007190856935174959
herman_z,-0.021193063354711376,-0.002901155942904204,-0.026982659448256584,-0.0012474819272625985,-0.013081090168283691,0.012945051593282311
herman_avg,-0.008991375808624677,0.01874150300315563,-0.01633151178468926,0.004990919562844772,-0.0003976162568283838,0.015525075783547367
shape_aniso,0.36676712220260327,0.24808436843875042,0.25877184778961715,0.3507887570725943,0.3061030238758913,0.06132794954331853
Rg,388.49570648036513,358.5787388982868,342.21736440313924,360.869087008126,362.5402241974793,19.193677396814486
ehex_kappa,0.3477733902553189,0.34333865074111936,0.3416514765436313,0.32150807651516283,0.3385678985138081,0.011662577403943037
ehex_kappa_x,0.31477100054476526,0.28279820962858143,0.3584998834614872,0.33936259246620076,0.32385792152525866,0.032705414545208825
ehex_kappa_y,0.3785841802540015,0.3848088380636787,0.33668122190535404,0.31822877984887055,0.3545757550179762,0.032309754523076946
ehex_kappa_z,0.34996498996719,0.3624089045310979,0.32977332426405254,0.30693285723041736,0.3372700189981894,0.02428764891737671
lav_kappa,0.41896936195918233,0.43483527306365016,0.4268263959776586,0.4221358094900349,0.4256917101226315,0.0068975031565897795
lav_kappa_x,0.43311601822169143,0.38397010015458316,0.44432046195925257,0.42308780282179637,0.4211235957893309,0.02624343183254969
lav_kappa_y,0.4239419036978977,0.4865840020316895,0.45771535625174276,0.43146666195990335,0.44992698098530826,0.028404246169883785
lav_kappa_z,0.3998501639579578,0.43395171700467794,0.3784433697219805,0.4118529636884048,0.40602455359325523,0.023185783083282466
