,pIB_smp1,pIB_smp2,pIB_smp3,pIB_mean,pIB_std
TotEng,-87956.6611,-87741.38149999999,-87799.10209999999,-87832.38156666665,111.43145301150132
Density,0.8948901813333333,0.88788622,0.8870045356666666,0.8899269790000001,0.004320807200872964
Mn,11214.535701264209,11214.535701264209,11214.535701264209,11214.53570126421,2.227797943108433e-12
DPn,200.0,200.0,200.0,200.0,0.0
PDI,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0
%mm,0.0,0.0,0.0,0.0,0.0
herman_x,-0.006676080570396524,0.00842308913300078,0.02131956868889539,0.007688859083833215,0.014012259442579146
herman_y,-0.017002257210181056,-0.008912522301511598,0.0016939241280220616,-0.008073618461223531,0.009376279587218012
herman_z,0.02367833778057756,0.0004894331685108393,-0.02301349281691747,0.0003847593773903095,0.023346091291439
herman_avg,-0.006120093132710975,0.005018931092029383,-0.004583112984991659,-0.0018947583418910837,0.006036547290061468
shape_aniso,0.3611267362897547,0.278838295758475,0.4086408457087972,0.3495352925856756,0.06567302847257844
Rg,491.76243583504856,499.25834027457057,521.421295970759,504.1473573601261,15.422025229669066
ehex_kappa,0.26556580955567094,0.2685385089384715,0.26899609676606456,0.267700138420069,0.001862489310316264
ehex_kappa_x,0.26912268986362126,0.27019788229997005,0.2807939214810643,0.27337149788155185,0.0064504487256116325
ehex_kappa_y,0.25259681790745686,0.2737196059251067,0.26740534184447395,0.2645739218923458,0.010842312835305238
ehex_kappa_z,0.2749779208959346,0.2616980385903375,0.2587890269726555,0.2651549954863092,0.008630352533370253
lav_kappa,0.29352203368957713,,,0.29352203368957713,
lav_kappa_x,0.27296923837943404,,,0.27296923837943404,
lav_kappa_y,0.27944720291889535,,,0.27944720291889535,
lav_kappa_z,0.32814965977040195,,,0.32814965977040195,
