,mean,std
TotEng,-87799.10209999999,138.7415603612431
Density,0.8870045356666666,0.0018442565095334272
Mn,11214.535701264209,0.0
DPn,200.0,0.0
PDI,1.0000000000000002,0.0
%mm,0.0,0.0
herman_x,0.02131956868889539,0.0014754126743998
herman_y,0.0016939241280220616,0.0015082540530004006
herman_z,-0.02301349281691747,0.0014985613589782976
herman_avg,-0.004583112984991659,0.0031049493982295336
shape_aniso,0.4086408457087972,0.21736616547389015
Rg,521.421295970759,120.42349344253905
ehex_kappa,0.26899609676606456,0.011088359729778507
ehex_kappa_x,0.2807939214810643,
ehex_kappa_y,0.26740534184447395,
ehex_kappa_z,0.2587890269726555,
